names,scores,logfoldchanges,pvals,pvals_adj
S100A11,6.77672,1.8156037,1.2293475537231971e-11,2.0710818237574702e-07
RPS26,6.5498915,1.1308495,5.757886291165525e-11,6.466874023151039e-07
PFN1,6.4610944,1.2351003,1.0394843681503313e-10,7.004877260091453e-07
IFITM2,6.282621,1.5006777,3.329122811027733e-10,1.8695243999128073e-06
IFITM3,6.20877,1.0737876,5.340100340202303e-10,2.5704191551825196e-06
C4orf48,4.8601074,1.5826352,1.1732203734564253e-06,0.0020753830422870437
LGALS1,4.80384,1.3698761,1.5565125709437113e-06,0.002280223241972931
CST3,4.714164,1.0217334,2.427056176293567e-06,0.00340738461683481
TGM2,4.6543794,1.976689,3.249580515963077e-06,0.004211206380956151
TIMP1,4.467114,1.0357643,7.92818903452707e-06,0.00890441337764517
SH3BGRL3,4.400296,1.020752,1.0810316372403891e-05,0.011037660601568992
HRCT1,4.3748,3.5318909,1.2154381796284503e-05,0.011700849721257428
RAMP2,4.20336,1.022482,2.629818715288015e-05,0.022238517136541104
IL32,4.202481,1.8391664,2.6400566435022382e-05,0.022238517136541104
CCL21,4.16028,1.2304459,3.178574719656302e-05,0.02612168209856084
