names,scores,logfoldchanges,pvals,pvals_adj,cell_type
S100A11,6.77672,1.8156037,1.2293475537231971e-11,2.0710818237574702e-07,Fibroblast_Stellate
RPS26,6.5498915,1.1308495,5.757886291165525e-11,6.466874023151039e-07,Fibroblast_Stellate
PFN1,6.4610944,1.2351003,1.0394843681503313e-10,7.004877260091453e-07,Fibroblast_Stellate
IFITM2,6.282621,1.5006777,3.329122811027733e-10,1.8695243999128073e-06,Fibroblast_Stellate
IFITM3,6.20877,1.0737876,5.340100340202303e-10,2.5704191551825196e-06,Fibroblast_Stellate
C4orf48,4.8601074,1.5826352,1.1732203734564253e-06,0.0020753830422870437,Fibroblast_Stellate
LGALS1,4.80384,1.3698761,1.5565125709437113e-06,0.002280223241972931,Fibroblast_Stellate
CST3,4.714164,1.0217334,2.427056176293567e-06,0.00340738461683481,Fibroblast_Stellate
TGM2,4.6543794,1.976689,3.249580515963077e-06,0.004211206380956151,Fibroblast_Stellate
TIMP1,4.467114,1.0357643,7.92818903452707e-06,0.00890441337764517,Fibroblast_Stellate
VWF,49.379536,3.0483053,0.0,0.0,Endothelial
RPL36A,47.04064,1.6429421,0.0,0.0,Endothelial
SPARCL1,45.80696,2.8308353,0.0,0.0,Endothelial
VWA1,40.19094,3.7439702,0.0,0.0,Endothelial
RPLP0,39.88537,1.0781137,0.0,0.0,Endothelial
RPS26,39.42392,1.2744664,0.0,0.0,Endothelial
IGFBP7,39.08963,1.2906507,0.0,0.0,Endothelial
RGCC,38.26839,3.1313984,0.0,0.0,Endothelial
VIM,38.253662,2.1614237,0.0,0.0,Endothelial
PLVAP,36.502834,2.1174977,9.999293907766717e-292,9.358783581341438e-289,Endothelial
IGLC3,34.133186,1.6312747,2.3750648836280736e-255,8.002543618896431e-251,Myeloid
IGKC,31.627005,1.2904336,1.570824819015085e-219,1.7642457150631424e-215,Myeloid
IGLC2,31.274782,1.3786596,1.0279983489502228e-214,8.659344092382201e-211,Myeloid
CTSH,31.044338,1.3072282,1.3603823627102696e-211,9.167344665831963e-208,Myeloid
IER3,29.122063,1.306349,1.8872435151665433e-186,7.94859787500269e-183,Myeloid
IFITM3,28.229246,1.1678637,2.559562344555957e-175,9.582432626385379e-172,Myeloid
TUBA1A,24.940706,1.0781027,2.693567969061463e-137,7.563089929129744e-134,Myeloid
FCGR1A,22.417915,1.4354476,2.6323125774782648e-111,4.434656999277632e-108,Myeloid
IGFBP7,21.347067,1.3354568,4.1520139761579316e-101,4.371811216020792e-98,Myeloid
IGHG3,21.272104,2.0672085,2.0583669698540267e-100,2.0398416671253405e-97,Myeloid
IGKC,73.16388,2.5094948,0.0,0.0,T_cells
IGLC2,55.51812,2.7404785,0.0,0.0,T_cells
CXCR4,51.229885,1.6063079,0.0,0.0,T_cells
IGLC3,46.60559,2.666482,0.0,0.0,T_cells
MT-CYB,44.94377,1.005664,0.0,0.0,T_cells
VIM,40.067444,1.3796378,0.0,0.0,T_cells
IGHA1,39.079685,1.6072885,0.0,0.0,T_cells
IGHG3,38.69144,3.9321854,0.0,0.0,T_cells
TRAC,35.510807,1.1780199,3.347759326087365e-276,9.399950227765638e-273,T_cells
LDHB,35.4275,1.2210813,6.441897756743057e-275,1.669640792428466e-271,T_cells
IGKC,38.693417,1.7359492,0.0,0.0,NK_cells
XCL2,27.956545,1.7573111,5.488822423996955e-172,4.623509568853836e-168,NK_cells
IGLC2,26.473768,1.7523189,1.9435821921169437e-154,1.091450973019805e-150,NK_cells
IGLC3,22.108444,1.85298,2.621475090082896e-108,8.832798168525309e-105,NK_cells
ALB,19.793169,2.0065136,3.409161756007528e-87,6.75695860040692e-84,NK_cells
SERPINA1,15.673174,2.4159071,2.3076180192639777e-55,1.8082065474669873e-52,NK_cells
RGCC,14.934446,1.2417492,1.9670239121790442e-50,1.2745558403261677e-47,NK_cells
IGFBP7,14.918966,1.326607,2.4808631963768976e-50,1.577173670541947e-47,NK_cells
APOA1,14.724487,2.6007771,4.4885994532836136e-49,2.700694106766751e-46,NK_cells
IGHG3,14.008893,2.542675,1.3753274277413724e-44,7.021254901563304e-42,NK_cells
UQCRB,30.31148,1.9580405,8.09201957445054e-202,2.726525075415365e-197,Epithelial
MT-CYB,29.990917,1.1698313,1.2890345361833723e-197,2.1716364831081275e-193,Epithelial
MT-ND1,27.702662,1.1143777,6.485302838202461e-169,7.283859794346457e-165,Epithelial
MT-ND3,26.838627,1.1580049,1.1450864696021414e-158,9.64563587669364e-155,Epithelial
MT-ATP6,26.344173,1.1046177,5.985208744320333e-153,4.0333124686225855e-149,Epithelial
IGKC,24.979107,2.0305252,1.0313363722709576e-137,4.343730965912206e-134,Epithelial
MT-ND4L,21.672367,1.676443,3.7402614244998386e-104,9.694182187469044e-101,Epithelial
APOA1,21.24277,2.190046,3.845398407843649e-100,9.254775282420279e-97,Epithelial
TIMP1,20.7597,1.7552282,1.0018972294198086e-95,2.250528349871402e-92,Epithelial
XIST,20.433191,4.585972,8.47765068849277e-93,1.7852872643629715e-89,Epithelial
TPSB2,5.609471,1.2359736,2.029459463240425e-08,0.00035815394041003093,Mast
MT-ND1,5.601429,2.4456453,2.1259211753429745e-08,0.00035815394041003093,Mast
MT-CYB,5.263654,1.4125088,1.4121996177246457e-07,0.0011895663479903553,Mast
TPSD1,4.789161,2.6205978,1.674798198257326e-06,0.008061521498868905,Mast
MT-CO3,4.708739,1.1631868,2.4925425958481e-06,0.010497966278063237,Mast
